Dwell (ms),Type I block,Type II block
1.031,10.5989,
0.594,10.62788,
0.5,10.62876,
0.5315,10.635,
0.625,10.67403,
0.5155,10.69321,
0.7186,10.78144,
0.719,10.79947,
0.5,10.82729,
1.219,10.84609,
0.7185,10.86671,
0.5313,10.87342,
0.5,10.87492,
0.5,10.89221,
0.9378,10.89357,
0.5,10.90468,
0.531,10.9099,
0.5155,10.91581,
0.7187,10.92583,
0.7187,10.9362,
0.5,10.94435,
0.5,10.94665,
0.5155,10.98051,
0.5,10.98098,
0.5937,10.98693,
0.6878,10.99075,
0.5155,11.0032,
0.7186,11.02354,
0.5,11.04549,
0.8122,11.06261,
0.625,11.07954,
0.5315,11.08825,
0.5,11.11116,
0.5315,11.17017,
0.531,11.1934,
0.5313,11.21297,
0.5158,11.22689,
1.125,11.25863,
0.7185,11.26216,
0.5,11.2657,
0.5,11.27118,
0.5,11.31711,
0.7185,11.32119,
0.5156,11.33519,
0.5,11.35787,
0.5,11.37421,
0.5,11.39916,
0.6095,11.40336,
0.5,11.4086,
0.906,11.42027,
0.531,11.47124,
0.5156,11.49036,
0.5,11.49575,
1.125,11.49807,
0.5,11.59099,
0.5159,11.63405,
0.5155,11.66516,
0.5,11.66835,
0.625,11.68083,
0.5312,11.70096,
0.719,11.70631,
0.5,11.70716,
0.5155,11.72101,
0.5,11.73037,
0.5935,11.74003,
0.625,11.75594,
0.719,11.75817,
0.625,11.77727,
0.5155,11.77843,
0.828,11.79837,
0.625,11.83577,
0.5159,11.85171,
0.5,11.86481,
0.5312,11.9119,
0.719,11.92717,
0.5313,11.93115,
0.5313,11.94136,
0.625,11.99034,
0.5313,12.00144,
0.5315,12.00373,
0.5,12.00607,
0.625,12.01161,
0.5312,12.03166,
0.5,12.0351,
0.5155,12.03869,
0.531,12.05655,
0.625,12.06856,
0.625,12.0837,
0.5,12.08924,
0.625,12.0904,
0.5,12.26515,
0.6092,12.28794,
0.5155,12.28966,
0.625,12.31629,
0.5155,12.32511,
0.5156,12.32512,
0.5938,12.33425,
0.5312,12.38103,
0.5156,12.3906,
0.5,12.42443,
0.5,12.4269,
0.625,12.43008,
0.625,12.43077,
0.531,12.4342,
0.5313,12.47848,
0.625,12.51556,
0.6095,12.55211,
0.5313,12.5565,
0.5155,12.56237,
0.5315,12.57343,
0.625,12.61604,
0.5312,12.63121,
0.625,12.66769,
0.5,12.72631,
0.5155,12.73109,
0.8125,12.74972,
0.5935,12.76071,
0.5158,12.8312,
0.5155,12.86123,
0.5155,12.87348,
0.5156,12.90803,
0.5158,12.96383,
0.5938,12.96437,
0.5156,12.97621,
0.5315,12.98544,
0.8125,13.03803,
0.625,13.06103,
0.5,13.06374,
0.5155,13.08146,
0.5,13.09505,
0.6095,13.10674,
0.5937,13.11293,
