i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
217 0 0.04339 4.09915
218 0 0.36464 6.23342
219 0 0.36037 -1.85309
220 0 0.31127 -1.64156
221 0 0.31034 6.95669
222 0 0.06855 7.12243
223 0 0.06855 -1.47757
224 0 0.0648 -7.12124
225 0 0.35802 -2.22091
226 0 0.358 -2.1548
227 0 0.3588 5.4195
228 0 0.3588 5.35743
229 0 0.3588 -4.7165
230 0 0.3588 -6.38143
231 0 0.3588 -6.4435
232 0 0.3588 -4.77857
233 0 0.34401 -1.58887
234 0 0.34308 7.00938
235 0 0.35509 5.93398
236 0 2.89644 -8.21009
237 0 2.89651 8.21021
238 0 0.32458 7.73065
239 0 0.32118 -7.73369
240 0 0.26423 -7.34759
241 0 0.26437 1.25236
242 0 0.26395 -1.25257
243 0 0.26395 7.34743
244 0 3.75176 8.54532
245 0 3.75176 -8.54532
246 0 0.14239 2.01728
247 0 0.14364 2.78719
248 0 0.14215 2.86811
249 0 0.14294 2.09956
250 0 0.1723 0.96632
251 0 0.32636 1.79027
252 0 0.13413 -4.04692
253 0 0.13408 -5.71119
254 0 0.53514 8.05408
255 0 0.53861 -8.04543
256 0 1.89866 8.40566
257 0 1.8987 -8.40574
258 0 0.3094 -2.2579
259 0 0.08493 3.3798
260 0 0.36156 5.05279
261 0 0.04323 8.13901
262 0 0.04323 -8.13901
263 0 0.2218 -2.57061
264 0 0.33279 -0.57572
265 0 0.08774 -2.54492
266 0 0.08942 -2.48236
267 0 0.22413 -7.13609
268 0 0.21122 4.69034
269 0 0.21096 -1.85763
270 0 0.21557 6.244
271 0 0.21138 5.05631
272 0 0.2124 6.73783
273 0 0.11758 -8.35992
274 0 0.11758 8.35992
275 0 3.51426 4.97171
276 0 3.51426 -4.97171
277 0 0.36336 5.87014
278 0 0.29799 7.66989
279 0 0.30048 -7.67161
280 0 0.35239 4.83882
281 0 0.34172 4.91121
282 0 3.72362 -3.69848
283 0 3.72362 3.69848
284 0 0.36261 -6.89572
285 0 0.33843 -1.71323
286 0 0.3454 6.88308
287 0 0.22967 -5.29704
288 0 0.21028 -5.23227
289 0 0.468 -7.92559
