i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
166 0 1.3073e-08 1.1672e-08
167 0 8.54e-10 3.601e-09
168 0 1.35e-10 -8.005e-09
169 0 1.35e-10 8.005e-09
170 0 3.75e-10 1.2955e-08
171 0 3.75e-10 -1.2955e-08
172 0 5.607e-09 -3.691e-09
173 0 5.607e-09 3.691e-09
174 0 1.134e-09 -3.54e-09
175 0 8.71e-10 5.062e-09
176 0 8.183e-09 -2.506e-09
177 0 8.183e-09 2.506e-09
178 0 6.71e-10 -4.806e-09
179 0 6.3e-10 -4.907e-09
180 0 6.01e-10 -3.537e-09
181 0 1.03e-08 -7.239e-09
182 0 1.0304e-08 7.239e-09
183 0 9.255e-09 1.1973e-08
184 0 6.732e-09 6.955e-09
185 0 1.3809e-08 5.938e-09
186 0 1.3814e-08 -5.943e-09
187 0 1.1784e-08 1.3655e-08
188 0 1.1354e-08 1.351e-08
189 0 1.1348e-08 -1.3514e-08
190 0 1.1778e-08 -1.3658e-08
191 0 1.3582e-08 6.201e-09
192 0 1.3588e-08 -6.206e-09
193 0 7.561e-09 6.079e-09
194 0 1.1445e-08 -9.881e-09
195 0 1.1429e-08 9.883e-09
196 0 1.2863e-08 -3.18e-09
197 0 1.2535e-08 -3.294e-09
198 0 1.2863e-08 3.18e-09
199 0 1.2535e-08 3.294e-09
200 0 8.19e-09 3.385e-09
201 0 7.977e-09 3.009e-09
202 0 7.977e-09 -3.009e-09
203 0 8.19e-09 -3.385e-09
204 0 8.6e-10 -5.111e-09
205 0 3.01e-10 -3.45e-09
206 0 1.1051e-08 -9.031e-09
207 0 1.1053e-08 9.029e-09
208 0 8.14e-10 4.529e-09
209 0 1.062e-09 4.232e-09
210 0 6.1e-11 3.614e-09
211 0 7.14e-10 4.525e-09
212 0 1.3589e-08 -3.075e-09
213 0 1.3589e-08 3.075e-09
214 0 1.0418e-08 -6.798e-09
215 0 1.0415e-08 6.823e-09
216 0 1.563e-09 -9.435e-09
217 0 1.563e-09 9.435e-09
218 0 5.937e-09 -9.629e-09
219 0 5.878e-09 9.596e-09
220 0 1.064e-09 1.341e-09
221 0 3.76e-10 1.632e-09
222 0 3.5e-10 1.756e-09
223 0 7.3e-11 5.592e-09
224 0 1.018e-09 1.432e-09
225 0 1.318e-09 2.983e-09
226 0 1.242e-09 3.085e-09
227 0 1.062e-09 6.054e-09
228 0 7.234e-09 6.267e-09
229 0 6.1e-11 6.32e-10
230 0 6.1e-11 -6.32e-10
231 0 7.765e-09 8.876e-09
232 0 1.149e-09 6.125e-09
233 0 1.092e-09 -3.1e-09
234 0 9.06e-10 5.499e-09
235 0 7.05e-10 4.306e-09
236 0 6.54e-10 4.412e-09
237 0 1.299e-09 -2.7e-09
238 0 1.218e-09 -2.667e-09
239 0 8.586e-09 8.824e-09
240 0 8.658e-09 8.262e-09
241 0 8.602e-09 -8.809e-09
242 0 8.658e-09 -8.29e-09
243 0 9.203e-09 -1.0448e-08
244 0 1.155e-09 4.218e-09
245 0 1.18e-10 5.102e-09
246 0 1.321e-09 -2.993e-09
247 0 8.796e-09 7.055e-09
248 0 1.12e-10 3.532e-09
249 0 1.0192e-08 -3.373e-09
250 0 5.279e-09 3.001e-09
251 0 5.279e-09 -3.001e-09
252 0 1.2896e-08 -8.766e-09
253 0 1.2899e-08 8.757e-09
254 0 7.4e-11 -6.4e-09
255 0 9.99e-10 -3.047e-09
256 0 9.95e-10 5.554e-09
257 0 3.427e-09 -1.2966e-08
258 0 3.427e-09 1.2966e-08
259 0 1.21e-10 5.686e-09
260 0 3.18e-10 -2.605e-09
261 0 2.88e-10 -2.704e-09
262 0 4.6e-10 -4.231e-09
263 0 1.201e-09 -7.177e-09
264 0 1.204e-09 -7.86e-10
265 0 1.204e-09 7.86e-10
266 0 9.96e-10 -7.638e-09
267 0 9.96e-10 7.638e-09
268 0 6.83e-10 1.918e-09
269 0 8.78e-10 3.73e-09
270 0 1.3131e-08 7.363e-09
271 0 1.3134e-08 -7.36e-09
272 0 9.078e-09 8.102e-09
273 0 9.234e-09 7.705e-09
274 0 9.202e-09 -7.739e-09
275 0 9.056e-09 -8.142e-09
276 0 8.59e-10 2.7e-10
277 0 6.1e-11 7.031e-09
278 0 6.1e-11 -1.569e-09
279 0 1.3167e-08 -3.567e-09
280 0 1.3167e-08 3.567e-09
281 0 1.94e-10 -9.006e-09
282 0 1.94e-10 9.006e-09
283 0 1.201e-09 -7.634e-09
284 0 1.201e-09 7.634e-09
285 0 8.8e-10 6.672e-09
286 0 1.1396e-08 -1.0306e-08
287 0 1.1372e-08 1.0307e-08
288 0 1.3127e-08 1.3687e-08
289 0 1.2651e-08 1.3706e-08
290 0 1.2654e-08 -1.3709e-08
291 0 1.3133e-08 -1.3694e-08
292 0 7.3e-11 4.2e-09
293 0 9.78e-10 3.765e-09
294 0 1.1395e-08 1.2731e-08
295 0 1.194e-09 5.54e-09
296 0 8.02e-10 -3.08e-09
297 0 1.54e-09 -9.901e-09
298 0 1.54e-09 9.901e-09
299 0 8.142e-09 9.091e-09
300 0 7.99e-10 6.594e-09
301 0 1.104e-09 5.476e-09
302 0 9.02e-10 -3.133e-09
303 0 1.1164e-08 1.3002e-08
304 0 1.18e-09 -4.068e-09
305 0 5.45e-09 2.631e-09
306 0 5.45e-09 -2.631e-09
307 0 1.2941e-08 -2.58e-09
308 0 1.2941e-08 2.58e-09
309 0 1.165e-09 2.524e-09
310 0 6.39e-10 -5.198e-09
311 0 7.93e-10 2e-10
312 0 1.031e-09 4.325e-09
313 0 1.226e-09 -3.48e-09
314 0 7.83e-10 5.118e-09
315 0 9.07e-10 1.176e-09
316 0 7.68e-10 -3.525e-09
317 0 1.028e-09 1.867e-09
318 0 5.32e-10 -6.358e-09
319 0 1.0574e-08 1.3626e-08
320 0 1.0565e-08 -1.3635e-08
321 0 1.1013e-08 -6.282e-09
322 0 1.101e-08 6.311e-09
323 0 9.129e-09 7.299e-09
324 0 9.63e-10 -7.772e-09
325 0 9.63e-10 7.772e-09
326 0 3.267e-09 -1.2608e-08
327 0 3.267e-09 1.2608e-08
328 0 1.238e-09 1.748e-09
329 0 1.25e-08 -9.589e-09
330 0 1.254e-08 9.62e-09
331 0 8.56e-10 -3.517e-09
332 0 1.0754e-08 4.187e-09
333 0 1.0383e-08 4.049e-09
334 0 1.0208e-08 -3.764e-09
335 0 5.7e-11 1.573e-09
336 0 3.13e-10 2.755e-09
337 0 1.3869e-08 3.98e-09
338 0 1.3869e-08 -3.98e-09
339 0 1.24e-09 -7.764e-09
340 0 1.24e-09 7.764e-09
341 0 1.276e-09 -4.073e-09
342 0 6.063e-09 2.306e-09
343 0 6.063e-09 -2.306e-09
344 0 5.304e-09 -4.854e-09
345 0 5.304e-09 4.854e-09
346 0 6.4e-11 -5.598e-09
347 0 1.06e-10 7.752e-09
348 0 1.06e-10 -7.752e-09
349 0 8.16e-10 5.759e-09
350 0 8.02e-10 1.717e-09
351 0 9.915e-09 1.3156e-08
352 0 9.927e-09 -1.3202e-08
353 0 2.39e-10 -5.262e-09
354 0 4.06e-10 2.809e-09
355 0 1.2088e-08 1.2618e-08
356 0 1.2111e-08 -1.2631e-08
357 0 9.18e-10 5.782e-09
358 0 1.183e-09 3.858e-09
359 0 1.097e-09 3.929e-09
360 0 8.31e-10 4.277e-09
361 0 9.09e-10 4.344e-09
362 0 7.58e-10 -5.211e-09
363 0 8.28e-10 -5.007e-09
364 0 2.16e-10 5.145e-09
365 0 6.079e-09 4.047e-09
366 0 6.077e-09 -4.046e-09
367 0 1.3311e-08 -2.542e-09
368 0 1.3311e-08 2.542e-09
369 0 5.427e-09 -4.487e-09
370 0 5.427e-09 4.487e-09
371 0 1.184e-09 -7.876e-09
372 0 1.045e-09 -7.879e-09
373 0 1.184e-09 7.876e-09
374 0 1.045e-09 7.879e-09
375 0 1.42e-10 -2.302e-09
376 0 1.28e-10 6.296e-09
377 0 5.44e-10 4.169e-09
378 0 6.5e-10 4.195e-09
379 0 1.1679e-08 -1.141e-08
380 0 8.74e-10 -5.885e-09
381 0 5.408e-09 -1.0514e-08
382 0 5.4e-09 1.0509e-08
383 0 5.43e-10 4.06e-10
384 0 4.44e-10 3.47e-10
385 0 1.142e-08 2.389e-09
386 0 1.142e-08 -2.389e-09
387 0 2.5e-10 6.087e-09
388 0 8.95e-10 2.588e-09
389 0 9.576e-09 -5.738e-09
390 0 7.56e-10 3.574e-09
391 0 9.04e-10 7.429e-09
392 0 9.03e-10 -1.174e-09
393 0 6.026e-09 -8.83e-09
394 0 6.163e-09 -9.163e-09
395 0 8.382e-09 7.188e-09
396 0 1.047e-09 -3.735e-09
397 0 9.5e-10 4.87e-09
398 0 9.01e-10 -7.429e-09
399 0 9.01e-10 -1.029e-09
400 0 9.01e-10 1.029e-09
401 0 6.52e-10 -2.802e-09
402 0 6.82e-10 -2.912e-09
403 0 7.8e-10 -5.874e-09
404 0 8.11e-10 1.226e-09
405 0 9.619e-09 1.2833e-08
406 0 9.601e-09 -1.2905e-08
407 0 3.12e-10 4.532e-09
408 0 3.23e-10 4.649e-09
409 0 2.3e-10 -7.902e-09
410 0 2.3e-10 7.902e-09
411 0 5.549e-09 6.515e-09
412 0 5.569e-09 -6.54e-09
413 0 1.24e-10 6.494e-09
414 0 1.39e-10 -2.102e-09
415 0 3.3e-10 -6.877e-09
416 0 9.11e-10 5.351e-09
417 0 8.17e-10 5.317e-09
418 0 1.099e-09 -3.245e-09
419 0 1.193e-09 -3.279e-09
420 0 1.093e-09 -4.258e-09
421 0 1.18e-09 -4.322e-09
422 0 6.67e-10 2.038e-09
423 0 3e-10 -4.43e-09
424 0 5.1e-11 -7.961e-09
425 0 5.1e-11 7.961e-09
426 0 9.24e-10 -5.582e-09
427 0 1.136e-09 -2.528e-09
428 0 1.18e-10 2.101e-09
429 0 7.512e-09 1.185e-08
430 0 9.525e-09 2.382e-09
431 0 9.52e-09 -2.392e-09
432 0 4.64e-10 -3.414e-09
433 0 6.436e-09 2.248e-09
434 0 6.436e-09 -2.248e-09
435 0 9.36e-10 -3.694e-09
436 0 1.063e-09 4.896e-09
437 0 1.1404e-08 -1.1704e-08
438 0 7.69e-10 -4.162e-09
439 0 8.88e-10 -5.679e-09
440 0 1.01e-09 9.55e-10
441 0 1.01e-09 -9.55e-10
442 0 1.009e-09 -7.359e-09
443 0 1.015e-09 -1.23e-09
444 0 1.015e-09 7.373e-09
445 0 5.1e-11 7.829e-09
446 0 5.1e-11 -7.829e-09
447 0 9.73e-10 6.092e-09
448 0 9.967e-09 1.005e-08
449 0 1.023e-09 1.232e-09
450 0 4.86e-10 -3.175e-09
451 0 3.44e-10 -2.155e-09
452 0 7.84e-10 -1.1179e-08
453 0 7.84e-10 1.1179e-08
454 0 1.237e-09 1.888e-09
455 0 1.25e-10 -5.492e-09
456 0 5.43e-10 6.807e-09
457 0 4.45e-10 6.746e-09
458 0 1.116e-09 -5.903e-09
459 0 1.36e-10 9.8e-11
460 0 1.35e-10 -9.8e-11
461 0 4.73e-10 1.396e-08
462 0 4.73e-10 -1.396e-08
463 0 1.06e-09 -5.783e-09
464 0 3.47e-10 -2.245e-09
465 0 9.148e-09 1.2765e-08
466 0 8.56e-10 3.109e-09
467 0 1.243e-08 -1.0366e-08
468 0 1.215e-08 -1.0722e-08
469 0 2.4e-10 4.857e-09
470 0 1.24e-10 4.9e-09
471 0 1.113e-08 -1.3015e-08
472 0 1.1369e-08 -1.2748e-08
473 0 1.159e-09 -4.865e-09
474 0 1.066e-09 -4.934e-09
475 0 5.06e-10 1.17e-09
476 0 1.1953e-08 1.2226e-08
477 0 5.884e-09 2.636e-09
478 0 5.884e-09 -2.636e-09
479 0 5.01e-10 2.558e-09
480 0 1.0079e-08 5.08e-09
481 0 3.28e-10 1.372e-09
482 0 1.184e-09 -4.456e-09
483 0 1.093e-09 -4.526e-09
484 0 1.3759e-08 1.3182e-08
485 0 1.009e-09 1.662e-09
486 0 7.35e-10 2.095e-09
487 0 7.087e-09 4.475e-09
488 0 6.991e-09 4.822e-09
489 0 1.0071e-08 -5.097e-09
490 0 1.29e-10 -7.235e-09
491 0 7.11e-10 -2.693e-09
492 0 9.716e-09 5.814e-09
493 0 1.1476e-08 -8.87e-09
494 0 1.1476e-08 8.87e-09
495 0 1.0422e-08 -5.236e-09
496 0 1.0427e-08 5.2e-09
497 0 5.09e-10 2.16e-09
498 0 6.95e-10 -3.143e-09
499 0 4.4e-10 -6.315e-09
500 0 4.04e-10 2.538e-09
501 0 5.37e-10 2.074e-09
502 0 8.04e-10 -2.676e-09
503 0 1.106e-09 3.071e-09
504 0 4.08e-10 1.941e-09
505 0 3.42e-10 -5.2e-11
506 0 1.35e-10 -8.108e-09
507 0 1.35e-10 8.108e-09
508 0 9.272e-09 1.0457e-08
509 0 8.98e-09 1.2252e-08
510 0 1.251e-09 -5.269e-09
511 0 1.325e-09 -5.194e-09
512 0 3.29e-10 4.906e-09
513 0 4.27e-10 2.38e-10
514 0 5.26e-10 -2.764e-09
515 0 3.6e-10 4.3e-11
516 0 1.174e-09 3.731e-09
517 0 1.076e-09 3.684e-09
518 0 1.15e-10 2.297e-09
519 0 6.272e-09 8.914e-09
520 0 4.95e-10 1.984e-09
521 0 1.0082e-08 -1.0793e-08
522 0 1.282e-09 6.918e-09
523 0 1.282e-09 -1.672e-09
524 0 2.374e-09 9.831e-09
525 0 2.755e-09 9.995e-09
526 0 2.375e-09 -9.832e-09
527 0 2.756e-09 -9.994e-09
528 0 2.22e-10 5.711e-09
529 0 5.8e-11 -7.172e-09
530 0 7.781e-09 8.387e-09
531 0 4.83e-10 -3.635e-09
532 0 1.3846e-08 1.2777e-08
533 0 3.05e-10 5.113e-09
534 0 1.2017e-08 -1.225e-08
535 0 4.25e-10 6.625e-09
536 0 9.04e-10 6.417e-09
537 0 8.13e-10 6.457e-09
538 0 1.1e-09 -2.444e-09
539 0 2.27e-10 4.34e-09
540 0 8.48e-10 3.024e-09
541 0 8.914e-09 9.071e-09
542 0 8.905e-09 -9.054e-09
543 0 1.34e-10 -6.499e-09
544 0 1.3663e-08 -9.146e-09
545 0 1.3808e-08 -9.59e-09
546 0 1.3666e-08 9.141e-09
547 0 1.3813e-08 9.59e-09
548 0 1.0244e-08 9.595e-09
549 0 4.22e-10 1.354e-09
550 0 8.51e-10 -1.0836e-08
551 0 8.51e-10 1.0836e-08
552 0 7.922e-09 6.184e-09
553 0 1.247e-09 5.889e-09
554 0 1.13e-09 5.859e-09
555 0 6.07e-10 -5.097e-09
556 0 4.82e-10 3.257e-09
557 0 4.82e-10 3.142e-09
558 0 1.284e-09 -6.919e-09
559 0 1.279e-09 -5.27e-10
560 0 1.279e-09 5.27e-10
561 0 2.76e-10 1.567e-09
562 0 6.6e-11 5.986e-09
563 0 8.153e-09 9.673e-09
564 0 1.33e-10 -1.741e-09
565 0 1.32e-10 6.857e-09
566 0 1.0899e-08 6.735e-09
567 0 1.0902e-08 -6.706e-09
568 0 1.3696e-08 4.299e-09
569 0 1.3696e-08 -4.299e-09
570 0 3.05e-10 -5.158e-09
571 0 8.65e-10 -2.153e-09
572 0 9.506e-09 -4.053e-09
573 0 9.419e-09 3.975e-09
574 0 5.9e-10 7.613e-09
575 0 5.9e-10 -7.613e-09
576 0 5.79e-10 7.85e-10
577 0 4.66e-10 7.78e-10
578 0 4.65e-10 -7.78e-10
579 0 5.78e-10 -7.85e-10
580 0 2.45e-10 -4.61e-09
581 0 1.127e-09 -2.726e-09
582 0 1.063e-09 2.731e-09
583 0 7.818e-09 1.0447e-08
584 0 7.871e-09 -1.0434e-08
585 0 1.183e-09 6.517e-09
586 0 1.092e-09 6.454e-09
587 0 1.083e-09 -2.143e-09
588 0 1.176e-09 -2.08e-09
