i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
167 0 1.002e-09 -7.37e-09
168 0 2.17e-10 7.002e-09
169 0 2.588e-09 -1.1084e-08
170 0 2.588e-09 1.1084e-08
171 0 8.572e-09 -8.055e-09
172 0 8.572e-09 8.055e-09
173 0 3.29e-10 -1.0198e-08
174 0 3.29e-10 1.0198e-08
175 0 8.39e-10 -2.713e-09
176 0 1.007e-09 -2.803e-09
177 0 1.07e-10 -1.757e-09
178 0 8.154e-09 -9.297e-09
179 0 8.154e-09 9.297e-09
180 0 4.78e-10 6.187e-09
181 0 2.75e-10 6.279e-09
182 0 5.186e-09 7.818e-09
183 0 5.186e-09 -7.818e-09
184 0 1.28e-10 -6.505e-09
185 0 4.75e-10 6.705e-09
186 0 6.19e-10 -2.83e-09
187 0 6.14e-10 -3.025e-09
188 0 8.89e-10 -4.64e-10
189 0 1.102e-09 -4.93e-10
190 0 4.27e-10 1.67e-09
191 0 9.99e-10 -9.7e-10
192 0 1.15e-10 -2.18e-10
193 0 4.66e-10 -5.507e-09
194 0 1.218e-09 6.058e-09
195 0 5.712e-09 8.348e-09
196 0 5.712e-09 -8.348e-09
197 0 1.051e-09 6.129e-09
198 0 1.03e-10 2.29e-10
199 0 1.05e-10 6.847e-09
200 0 6.291e-09 -6.8e-09
201 0 6.291e-09 6.8e-09
202 0 4.66e-10 3.897e-09
203 0 1.12e-10 -3.341e-09
204 0 1.3418e-08 -3.718e-09
205 0 1.3418e-08 3.718e-09
206 0 1.122e-09 -3.552e-09
207 0 2.182e-09 -1.2992e-08
208 0 2.182e-09 1.2992e-08
209 0 7.96e-10 4.476e-09
210 0 1.1e-10 -7.724e-09
211 0 1.1e-10 7.724e-09
212 0 4.041e-09 1.0329e-08
213 0 4.041e-09 -1.0329e-08
214 0 2.35e-10 -4.284e-09
215 0 2.43e-10 -7.603e-09
216 0 2.43e-10 7.603e-09
217 0 1.1209e-08 1.2313e-08
218 0 1.1209e-08 -1.2313e-08
219 0 1.19e-10 -4.499e-09
220 0 1.2e-10 -5.3e-09
221 0 1.27e-10 -2.909e-09
222 0 1.1548e-08 1.2998e-08
223 0 1.1548e-08 -1.2998e-08
224 0 1.22e-10 3.701e-09
225 0 1.2e-10 2.899e-09
226 0 1.3e-08 -1.2428e-08
227 0 1.3e-08 1.2428e-08
228 0 1.18e-10 4.096e-09
229 0 1.12e-10 5.268e-09
230 0 1.696e-09 -1.111e-08
231 0 1.696e-09 1.111e-08
232 0 7.694e-09 -4.633e-09
233 0 7.694e-09 4.633e-09
234 0 8.48e-10 -6.58e-09
235 0 1.054e-09 1.945e-09
236 0 9.68e-09 1.2596e-08
237 0 9.68e-09 -1.2596e-08
238 0 1.21e-10 -5.703e-09
239 0 5.93e-10 4.48e-09
240 0 9.598e-09 1.3268e-08
241 0 9.598e-09 -1.3268e-08
242 0 6.1e-10 -6.573e-09
243 0 8.11e-10 -7.034e-09
244 0 4.59e-10 -4.284e-09
245 0 4.63e-10 -6.703e-09
246 0 1.106e-09 -4.276e-09
247 0 8.85e-10 -4.293e-09
248 0 1.11e-09 3.915e-09
249 0 8.96e-10 3.911e-09
250 0 8.85e-10 -5.516e-09
251 0 1.107e-09 -5.529e-09
252 0 1.134e-09 2.703e-09
253 0 9.08e-10 2.675e-09
254 0 1.0723e-08 -1.0763e-08
255 0 1.0723e-08 1.0763e-08
256 0 4.63e-10 -6.903e-09
257 0 8.618e-09 -2.573e-09
258 0 8.618e-09 2.573e-09
259 0 8.21e-10 1.324e-09
260 0 8.17e-10 -1.324e-09
261 0 8.14e-10 7.279e-09
262 0 7.61e-10 1.514e-09
263 0 1.2e-09 1.32e-09
264 0 7.42e-10 -1.516e-09
265 0 7.39e-10 7.087e-09
266 0 1.194e-09 -1.326e-09
267 0 1.198e-09 7.281e-09
268 0 8.18e-10 8.78e-10
269 0 7.43e-10 6.88e-10
270 0 1.198e-09 8.81e-10
271 0 1.18e-10 4.888e-09
272 0 4.01e-10 5.35e-10
273 0 1.01e-10 2.519e-09
274 0 9.28e-10 -6.356e-09
275 0 1.3341e-08 -7.339e-09
276 0 1.3341e-08 7.339e-09
277 0 2.29e-10 5.056e-09
278 0 1.185e-09 -6.749e-09
279 0 2.45e-10 -2.71e-09
280 0 4.52e-10 7.693e-09
281 0 4.52e-10 -7.693e-09
282 0 8.912e-09 -1.1986e-08
283 0 8.912e-09 1.1986e-08
284 0 1.062e-09 -2.034e-09
285 0 8.41e-10 -3.151e-09
286 0 1.015e-09 -3.045e-09
287 0 4.98e-10 -7.273e-09
288 0 6.04e-10 -7.036e-09
289 0 5.38e-10 5.827e-09
290 0 2.289e-09 9.429e-09
291 0 2.289e-09 -9.429e-09
292 0 9.345e-09 -4.009e-09
293 0 9.345e-09 4.009e-09
294 0 8.231e-09 -1.226e-08
295 0 8.231e-09 1.226e-08
296 0 8.17e-10 5.32e-10
297 0 8.49e-10 1.667e-09
298 0 8.19e-10 -1.716e-09
299 0 8.21e-10 6.939e-09
300 0 5.26e-10 -6.345e-09
301 0 6.09e-10 7.59e-09
302 0 6.09e-10 -7.59e-09
303 0 4.63e-10 -2.689e-09
304 0 4.61e-10 -4.66e-10
305 0 1.201e-09 4.477e-09
306 0 8.92e-10 -4.664e-09
307 0 1.105e-09 3.54e-09
