status Javgctr z Fbare0 Fbare1 Javgbtm i Fshear1 Fshear2 Fp2 Fshear0 r Fbarevol2 Fp0 Fbarevol0 Fbarevol1 Fp1 Javgtop Fbare2
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
1 7.12060327174 -7.8 66.784507488 0.0 7.07516656103 21 0.0 -0.0973078596311 1.19218302697 0.0335809988482 0.0 8.06351653715 -5.38720998914 101.04583532 0.0 0.0 7.12114968251 6.73262435315
1 7.13159418095 -7.6 67.7193254133 0.0 7.09431886164 22 0.0 -0.121802106246 1.16705864134 0.0275077494216 0.0 9.20789249254 -4.35779820594 101.894278091 0.0 0.0 7.1319996115 7.69313115247
1 7.1564308909 -7.4 68.9884284328 0.0 7.1176608976 23 0.0 -0.140130756203 1.01369211243 0.0173635481032 0.0 9.53439257255 -3.37110741576 102.989102062 0.0 0.0 7.15450798083 7.96963885061
1 7.13718169043 -7.2 70.216999853 0.0 7.09051090296 24 0.0 -0.149335960691 0.775835152052 0.00792626754297 0.0 8.92366361391 -2.51481095973 104.029571842 0.0 0.0 7.13544252905 7.45725829088
1 7.13560959551 -7.0 71.0628476981 0.0 7.09057739764 25 0.0 -0.153179890219 0.519120087535 0.00226958084538 0.0 7.60551040057 -1.84713272833 104.765057166 0.0 0.0 7.13392156828 6.3600194651
1 7.16719789795 -6.8 71.5085565769 0.0 7.16411428645 26 0.0 -0.155045131531 0.296737149753 0.000143435322446 0.0 5.98518875972 -1.37249685417 105.139125466 0.0 0.0 7.16554535458 5.00428493674
1 7.15726337686 -6.6 71.642330122 0.0 7.15413443456 27 0.0 -0.155431103436 0.132923484309 -0.000480523091973 0.0 4.43141432269 -1.05312475734 105.250341184 0.0 0.0 7.15563811845 3.6985573153
1 7.13502291433 -6.4 71.6277785565 0.0 7.13184898985 28 0.0 -0.155235691849 0.0233602678312 -0.000548615625999 0.0 3.1279870464 -0.845868554057 105.230818194 0.0 0.0 7.13340928059 2.61469119848
1 7.13511842128 -6.2 71.5829053704 0.0 7.13187102123 29 0.0 -0.155393150203 -0.0467588880977 -0.000393511017382 0.0 2.1251187666 -0.71266040125 105.16721053 0.0 0.0 7.13348326616 1.76214415302
1 7.13457633486 -6.0 71.4935642141 0.0 7.13139840793 30 0.0 -0.155542928824 -0.0902589497472 -0.000239153328842 0.0 1.39663463659 -0.625904906592 105.101152121 0.0 0.0 7.13298385892 1.16744409714
1 7.1345904248 -5.8 71.4540517036 0.0 7.13138270885 31 0.0 -0.155708167399 -0.11739518153 -0.000122737572983 0.0 0.883585419071 -0.566799225979 105.047238422 0.0 0.0 7.13298902487 0.7298948201
1 7.13550343251 -5.6 71.3712230835 0.0 7.13229389993 32 0.0 -0.155815152904 -0.134447500851 -0.000103092821215 0.0 0.528170785829 -0.525381304057 105.011614383 0.0 0.0 7.13390313537 0.44084705596
1 7.13549501157 -5.4 71.3727867926 0.0 7.13235676483 33 0.0 -0.155871860945 -0.145423223463 -3.59974441451e-05 0.0 0.283222465695 -0.493926966694 104.985719556 0.0 0.0 7.13392788183 0.231657350793
1 7.13343137501 -5.2 71.3423492274 0.0 7.13048249317 34 0.0 -0.15597857965 -0.152605773244 -3.36042512101e-05 0.0 0.114768634752 -0.469735247124 104.973720975 0.0 0.0 7.13195558843 0.0910376548192
1 7.13340728454 -5.0 71.3617591772 0.0 7.13046500298 35 0.0 -0.156040332414 -0.157307072869 3.38191945856e-05 0.0 -0.00207837995572 -0.450052675906 104.963403955 0.0 0.0 7.13193352071 -0.0140116770913
1 7.13184145774 -4.8 71.3260579521 0.0 7.1289357127 36 0.0 -0.156013782558 -0.160355760147 -1.69590537867e-05 0.0 -0.0832069208194 -0.432866810054 104.95644381 0.0 0.0 7.13038574482 -0.0650500697999
1 7.13378120721 -4.6 71.3485378074 0.0 7.13079373347 37 0.0 -0.155946823199 -0.162501172173 3.56217558126e-05 0.0 -0.140405066455 -0.417994933859 104.95497716 0.0 0.0 7.13228703433 -0.119382120408
1 7.13329760251 -4.4 71.3397732242 0.0 7.13040350279 38 0.0 -0.155972019363 -0.164048421675 6.9550569898e-05 0.0 -0.180181169683 -0.405097883137 104.952183406 0.0 0.0 7.13185072322 -0.144323367596
1 7.13356354334 -4.2 71.3333230269 0.0 7.13064200204 39 0.0 -0.155971402623 -0.165076321416 8.116039339e-05 0.0 -0.209127313555 -0.39209236118 104.95341523 0.0 0.0 7.13210311998 -0.179175789515
1 7.13228179547 -4.0 71.3377193631 0.0 7.12942323396 40 0.0 -0.155899487678 -0.16581356738 5.60880554246e-05 0.0 -0.229169194758 -0.380359368768 104.952561076 0.0 0.0 7.13085272368 -0.191300820918
1 7.13309540273 -3.8 71.3139608009 0.0 7.13026784205 41 0.0 -0.156063102295 -0.166448711722 0.00011822052152 0.0 -0.243610764646 -0.369205419003 104.954245116 0.0 0.0 7.13168999837 -0.204682198846
1 7.13230014486 -3.6 71.3351188291 0.0 7.12938803304 42 0.0 -0.156111375439 -0.166818820436 6.67529840574e-05 0.0 -0.253916272159 -0.358273340712 104.955601078 0.0 0.0 7.13085293451 -0.206997877766
1 7.13375599468 -3.4 71.3422506939 0.0 7.13083077652 43 0.0 -0.156117660924 -0.16704889019 4.60245173633e-05 0.0 -0.261789046766 -0.347517650835 104.955029696 0.0 0.0 7.13229973565 -0.21533001108
1 7.13319193473 -3.2 71.3338842751 0.0 7.13031920358 44 0.0 -0.156254271071 -0.16737651569 8.74378829508e-05 0.0 -0.26751125606 -0.337136889607 104.957363475 0.0 0.0 7.13176492605 -0.211984090592
1 7.13119311825 -3.0 71.3277197876 0.0 7.12835031965 45 0.0 -0.156180636085 -0.16745073779 5.76678448851e-05 0.0 -0.272175128322 -0.326780799328 104.959220263 0.0 0.0 7.12978544547 -0.220351691859
1 7.13246242419 -2.8 71.3548643209 0.0 7.12970612038 46 0.0 -0.156227524582 -0.167640912545 0.000101617290922 0.0 -0.275825448491 -0.316632451437 104.95955669 0.0 0.0 7.1311058091 -0.22523563439
1 7.13181529587 -2.6 71.3603553699 0.0 7.12906910886 47 0.0 -0.15624147094 -0.167798612922 8.12843927286e-05 0.0 -0.279246670035 -0.306583684273 104.959929798 0.0 0.0 7.13048257105 -0.237960219528
1 7.13292758426 -2.4 71.3587464964 0.0 7.13034716687 48 0.0 -0.15632409385 -0.167962499382 3.15249637751e-05 0.0 -0.282583314499 -0.29658729204 104.962864131 0.0 0.0 7.13170104137 -0.22270366348
