i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
170 0 7.76e-10 8.341e-09
171 0 7.76e-10 -8.341e-09
172 0 5.26e-10 -8.079e-09
173 0 5.26e-10 8.079e-09
174 0 2.13e-10 -5.274e-09
175 0 1.74e-10 2.618e-09
176 0 1.73e-10 2.262e-09
177 0 1.65e-10 -5.835e-09
178 0 1.31e-10 -6.217e-09
179 0 1.31e-10 -4.943e-09
180 0 1.3e-10 4.168e-09
181 0 4.46e-10 -7.863e-09
182 0 4.46e-10 7.863e-09
183 0 3.43e-10 -3.8e-09
184 0 9.2e-11 7.915e-09
185 0 9.2e-11 -7.915e-09
186 0 2.03e-10 2.6e-11
187 0 3.52e-10 6.34e-09
188 0 3.71e-10 -3.013e-09
189 0 3.67e-10 -3.417e-09
190 0 3.72e-10 4.668e-09
191 0 3.76e-10 6.201e-09
192 0 3.68e-10 6.717e-09
193 0 3.73e-10 -6.717e-09
194 0 1.71e-10 7.794e-09
195 0 1.71e-10 -7.794e-09
196 0 3.27e-10 1.015e-09
197 0 3.07e-10 -3.754e-09
198 0 3.18e-10 -7.105e-09
199 0 2.57e-10 -4.02e-09
200 0 2.6e-10 -3.422e-09
201 0 3.8e-10 -7.32e-10
202 0 3.34e-10 -2.712e-09
203 0 4.84e-10 -7.808e-09
204 0 4.84e-10 7.808e-09
205 0 1.67e-10 3.266e-09
206 0 9.1e-11 -2.355e-09
207 0 3.07e-10 6.382e-09
208 0 3.49e-10 -6.967e-09
209 0 3.26e-10 7.406e-09
210 0 3.27e-10 1.193e-09
211 0 3.27e-10 -7.407e-09
212 0 4.4e-11 -6.147e-09
213 0 4.3e-11 -5.013e-09
214 0 4.3e-11 4.099e-09
215 0 3.62e-10 5.056e-09
216 0 9.2e-11 -5.727e-09
217 0 4.21e-09 -7.392e-09
218 0 4.201e-09 7.45e-09
219 0 3.06e-10 6.965e-09
220 0 6.9e-11 7.122e-09
221 0 6.5e-11 -7.121e-09
222 0 3.59e-10 5.419e-09
223 0 3.59e-10 5.357e-09
224 0 3.59e-10 -4.717e-09
225 0 3.59e-10 -4.779e-09
226 0 3.72e-10 -2.325e-09
227 0 3.39e-10 7.018e-09
228 0 3.51e-10 -5.836e-09
229 0 7.2e-11 -5.963e-09
230 0 3.5e-10 -6.38e-09
231 0 2.64e-10 -7.348e-09
232 0 2.64e-10 1.252e-09
233 0 2.64e-10 7.347e-09
234 0 3.04e-10 -5.887e-09
235 0 7.433e-09 1.2056e-08
236 0 6.92e-09 1.1467e-08
237 0 7.433e-09 -1.2056e-08
238 0 6.92e-09 -1.1467e-08
239 0 1.42e-10 2.017e-09
240 0 1.44e-10 2.787e-09
241 0 1.42e-10 2.868e-09
242 0 1.43e-10 2.1e-09
243 0 1.72e-10 9.66e-10
244 0 3.26e-10 1.79e-09
245 0 1.537e-09 -8.124e-09
246 0 1.541e-09 8.124e-09
247 0 5.38e-09 5.615e-09
248 0 5.38e-09 -5.615e-09
249 0 8.5e-11 3.38e-09
250 0 6.848e-09 -1.0664e-08
251 0 6.848e-09 1.0664e-08
252 0 3.08e-10 -1.622e-09
253 0 3.6e-10 -4.049e-09
254 0 3.33e-10 -5.76e-10
255 0 8.9e-11 -2.852e-09
256 0 8.9e-11 -2.915e-09
257 0 2.24e-10 -7.136e-09
258 0 2.92e-10 -1.136e-09
259 0 2.11e-10 4.69e-09
260 0 2.16e-10 6.234e-09
261 0 2.12e-10 5.056e-09
262 0 2.12e-10 6.738e-09
263 0 3.49e-10 -4.269e-09
264 0 3.5e-10 -4.203e-09
265 0 3.54e-10 -3.173e-09
266 0 3.52e-10 -3.25e-09
267 0 3.48e-10 4.838e-09
268 0 3.41e-10 4.911e-09
269 0 3.59e-10 -6.886e-09
270 0 3.42e-10 6.893e-09
271 0 3.77e-10 -3.925e-09
272 0 8.75e-10 8.385e-09
273 0 8.75e-10 -8.385e-09
274 0 4.3e-11 -5.899e-09
275 0 3.81e-10 6.6e-10
276 0 2.29e-10 1.82e-10
277 0 8.146e-09 -3.489e-09
