status Javgctr z Fbare0 Fbare1 Javgbtm i Fshear1 Fshear2 Fp2 Fshear0 r Fp1 Fp0 Fbarevol0 Fbarevol1 Fbarevol2 Javgtop Fbare2
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
1 31.4047288113 3e-09 3.33735618686 -0.00283245621943 31.4082000461 61 -3.15054857415e-06 -0.179611788157 -0.77572628662 0.00078727142068 3.7e-10 -0.0231261989024 0.119633875198 3.67284081578 -0.0112682068496 -1.74565819453 31.4077076504 -1.48628074805
1 10.1799777863 1.032e-09 1.78763020083 0.0109920169318 10.8342333426 62 -0.000714731085855 -0.141329994072 -0.447001672301 0.000569128226518 1.59e-10 -0.0050939697934 0.0648590974068 2.15482792762 0.00159164041023 -0.655403907884 10.7860087005 -0.624902923388
1 28.3703527916 7.004e-09 1.89284656547 0.00314072695966 28.3725880528 63 4.33499418277e-05 -0.156318811361 -1.03627125003 0.000874375356019 3.01e-10 -0.000618251834059 0.120338133788 2.28293049842 0.0222167384113 -5.62903091188 28.0839325886 -5.21269339518
1 18.783553946 4.757e-09 1.64124034149 -0.0180477149786 18.7850663182 64 0.000258533274768 -0.198500122768 -0.756492650855 0.000343137343873 1.59e-10 -0.00597282452269 0.0981546514064 2.0084829537 -0.000813078089457 -1.01491707024 18.7842258217 -0.878571306184
1 7.9972509311 7.289e-09 0.190299953711 0.00518375325581 7.99799663382 65 0.000231060237641 -0.11330448531 -0.776301974378 0.001447943122 3.4e-11 0.00120587342456 0.00245069153858 0.219704450695 0.0186221277798 -4.82833700083 7.93026562928 -4.56517212716
1 7.52653177376 6.666e-09 2.12254299775 0.0365438847476 7.52702826493 66 -0.000205955414283 -0.0863940123958 -0.430756087381 0.000408624787035 2.5e-10 -0.000575110198107 0.119374315789 2.50250489074 0.00528123367332 -3.26621646246 7.52330598293 -2.77211253233
1 19.5511133503 6.725e-09 2.59128279674 0.19271191038 19.5521013574 67 -0.000357792186237 -0.0857117834379 -0.414844557292 0.00111503239423 2.85e-10 -0.0152630694437 0.143239537313 2.53266360627 0.0110410628675 -4.08654845347 19.5517838508 -3.37569694608
1 18.6801172625 3.147e-09 3.56984224012 0.0235341462588 18.6820898306 68 -5.90056425048e-05 -0.132775468048 -0.324015063312 0.00186985695705 3.53e-10 -0.00139357496092 0.131974342623 3.77506451583 -0.00841935906555 -0.971932118945 18.6809192234 -0.739835400483
1 8.91392998362 -4.165e-09 3.77583511629 0.0583722255562 8.9146966479 69 -0.000141251836206 -0.0481749177684 -0.220400045834 0.00169171421868 3.47e-10 -0.0060522759796 0.0375207543403 4.31269339938 0.0162251955062 -0.379546439665 8.91354954236 -0.28885941121
1 10.1141482748 1.134e-09 2.22144441596 -0.088996499576 10.6593329007 70 -0.000388054465228 -0.130523507724 -0.434834199543 0.000497416222189 2.12e-10 0.0192940039401 0.0530344567282 2.74019480013 -0.0297312110856 -0.708957542898 10.574557923 -0.636592849272
1 8.94148727395 -1.134e-09 2.37376161812 0.00462842580848 8.95352293805 71 0.000378928127603 -0.110795780845 -0.349602283056 0.000487853180846 2.12e-10 -0.00213189261102 0.0536240021668 2.86266721646 0.00474884447601 -0.326488901338 9.13683586459 -0.217320371228
1 10.8409966237 1.066e-09 2.11353718744 0.136199687885 11.533944836 72 -0.000428397701019 -0.140262603597 -0.478168383067 0.000680297075935 2.08e-10 -0.0164237599412 0.046694985636 2.61585506632 0.0773677542511 -0.684957356997 11.4242559204 -0.598212977685
1 16.6252709981 -1.511e-09 3.70214456029 -0.15561320291 17.0919695529 73 -0.000653589292337 -0.125924947997 -0.295289006509 0.00117262124449 3.16e-10 0.00667325250534 0.126112467147 4.06273933077 0.00691076044708 -0.736320049416 17.6742108534 -0.579537852071
1 18.0340998538 1.509e-09 2.93059842324 0.0409910908909 19.4040906621 74 0.000739824455135 -0.163167238726 -0.663893520328 0.00214848566899 3.18e-10 -0.0402152447397 0.138269393544 3.52845349842 -0.00282935002719 -1.24691070788 19.1977530201 -1.16895008823
1 19.3717935462 -1.012e-09 3.55517771834 0.0210856754956 19.5266831834 75 0.00112867321031 -0.187347689056 -0.668102568287 0.00152309720868 3.26e-10 -0.00754512111188 0.0255614374007 4.26531198134 -0.00231856388341 -0.858589841203 19.8350122893 -0.717892115942
1 9.27711935548 -6.288e-09 -2.22807369628 0.159330906555 9.27799604612 76 0.00086948427677 -0.00328205070319 0.0315035975434 0.00289407185985 3.609e-09 -0.00395715743574 -0.347635647968 -2.42390055166 -0.0319040179791 0.267492328562 9.27666172242 0.24058931544
1 28.8177119332 6.287e-09 -2.68783875671 -0.149960576664 28.8205635209 77 -0.000169728808537 0.00171759879571 -0.0344885680612 0.00225954096341 3.595e-09 0.000524981426565 -0.352218661867 -2.50860512223 -0.000738796482127 -0.254795958341 28.8188034199 -0.230315621568
1 11.660589724 4.557e-09 0.857973175554 0.0370495483918 11.6616715535 78 -0.000304290864683 -0.136153271038 -0.571971661481 0.000924393666397 7.6e-11 -0.0207291841048 -0.00121946051339 0.978009204439 0.00661064626185 -0.642392337894 11.6605386855 -0.56898222394
1 18.6842266645 4.438e-09 0.872111634192 0.0346306737541 18.685982759 79 -4.92303830203e-05 -0.218106026121 -0.791004822398 -0.000276155558661 8.2e-11 -0.00104242496317 0.0303121977773 1.03281932329 0.00585387661128 -0.941461362715 18.6849820707 -0.849206224379
1 8.46925069895 -7.955e-09 0.354595551301 -0.0327111171386 8.39077230346 80 -5.55915974829e-05 -0.0276981827645 0.363411354171 0.000159375991701 2.28e-10 -0.00943989683819 0.0274736923829 0.216416013721 -0.0903860619896 2.99828179575 8.46882704983 2.84102455592
1 18.6792785437 3.215e-09 3.63249792095 0.147253993138 18.6812127403 81 -0.000529927860921 -0.13244770598 -0.325713249421 0.0024657098494 3.42e-10 -0.0099494636902 0.127135529731 3.68372126248 0.00274414358915 -0.962875530064 18.6801094677 -0.892803319634
1 8.09668419165 -4.101e-09 3.78599918593 -0.215097846802 8.09774594954 82 6.44916487489e-07 -0.041668094351 -0.0816067001467 0.0024236698585 3.37e-10 -0.00587546900339 0.133849111657 4.09093516136 -0.234526492908 -0.0351948845927 8.09620922461 -0.120669731147
1 13.1325825044 1.309e-09 2.51586578028 0.0127297286311 13.7249434654 83 -0.000285993519602 -0.147859502305 -0.495177968933 0.000738215948105 2.52e-10 0.0376185407045 0.0616346564941 3.04752666164 0.040733183378 -0.912176209276 13.5711801846 -0.847653239079
1 19.2726720911 -1.309e-09 2.89788255467 -0.00477324605933 19.5281508958 84 -0.00128368621954 -0.213832006211 -0.747437834619 0.000211094355735 2.52e-10 0.00483960001529 0.0475101582313 3.47865461441 -0.00484752775947 -0.861996600863 19.8488863519 -0.675648050828
1 10.807004308 -6.1e-10 0.914659499899 -0.0590110528306 10.9003639077 85 0.000377918353267 -0.157452981519 -0.490507465294 0.000249157123827 8e-11 -0.0167997019906 0.0223985003402 1.12564903955 0.000189210036095 -0.29002550341 11.1056769689 -0.252367254752
1 10.4136946551 6.937e-09 1.93835528755 0.0597854260805 10.4145234672 86 0.00024578470606 -0.0881663071634 -0.610333330275 0.000493970876713 2.71e-10 0.0125097283952 0.13982772201 2.3058332275 0.00429111705396 -4.39091954488 10.3629370482 -3.85670541612
1 19.5646396229 6.867e-09 2.45873739428 -0.0293671492657 19.5656569219 87 0.00126598364594 -0.0811477316538 -0.475438213382 0.00161748997869 3.02e-10 -0.00300125552855 0.142566947955 2.44633427903 -0.0106010286439 -4.61428397292 19.5652882817 -3.69609161251
1 19.3022546198 -1.063e-09 3.23024808442 0.0339576269156 19.4700731682 88 -0.000585569210643 -0.203346502612 -0.675801870898 0.000498657820065 2.91e-10 -0.0126175669867 0.00730541298818 3.89979744248 -0.00687104337939 -0.842664614319 19.8097468139 -0.678090014399
1 20.1811133798 -1.861e-09 2.6309202056 0.000444745385105 20.9460365398 89 -0.000467915828634 -0.185265222561 -0.785569894449 0.00232409867887 2.24e-10 -0.039364934814 0.100070169934 3.17438422639 -0.00923065667475 -0.932128818433 21.0522660264 -0.990412698084
