status Fshear[0] Fshear[1] Javgbtm i Fp[1] Fbare[1] Fp[0] Fshear[2] r Fbare[0] Fbare[2] Fp[2] Javgtop z Javgctr
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293
1 15.4948570823 -28.5116665054 60.7721957134 31 -27.0698841536 -6.88157174102e-17 18.2164241921 -14.1217755358 8.2639e-09 -1.73520145775e-16 -3.4533949673e-15 -152.095428357 60.7721933201 -4.6287e-09 60.7721954406
1 16.0005502242 -6.49802452073 58.8502932652 32 -68.0569011494 -1.98570831272e-16 -4.25420191605 -7.03177263449 4.3468e-09 -1.93419224968e-16 -3.68717184593e-15 -186.007485341 58.850290379 4.0713e-09 58.8502930343
1 10.4030442556 -27.6840665306 58.990292561 33 -13.5190225508 -1.08894661845e-16 41.7067818056 -9.79426780853 4.3468e-09 -2.32690842956e-16 -3.3566098783e-15 -159.591700431 58.9902902185 -4.0713e-09 58.9902922579
1 1629296.43093 -3446332.8829 56.6721866195 34 -29.4478540971 1.65694954426e-17 6.84566907758 1600455.48756 1.17723e-08 -2.12606814185e-16 -3.41659977796e-15 -155.251158971 56.6721845252 -6.8382e-09 56.6721863605
1 6.38601618488 -30.4501448606 55.8133487953 35 1.39092914403 -1.07828221972e-16 53.2117807783 -5.85503341809 1.14767e-08 3.09855984428e-17 -3.34047859793e-15 -157.708077973 55.8133465533 -5.6269e-09 55.8133485378
1 12.9324313136 -14.5786668244 58.6030133944 36 -69.844631331 -2.99461112187e-16 -10.9912545906 -10.2983081331 1.17723e-08 -1.37744608239e-16 -3.59687357937e-15 -156.964881314 58.6030110389 6.8382e-09 58.6030132148
1 20.3728947607 -16.3321292225 58.4867208174 37 -68.8988664585 -1.697458485e-16 -17.8770214698 -16.9955925639 1.14767e-08 -1.53360682652e-16 -3.54260956653e-15 -167.310515783 58.4867182901 5.6269e-09 58.486720594
1 14.7475961902 -21.7415292559 58.9449193247 38 -35.3776722742 -8.15371995998e-17 -5.43627258147 -5.77611463047 4.4653e-09 -1.26170529217e-16 -3.66434048644e-15 -219.762422128 58.9449168229 3.3774e-09 58.9449191464
1 6.77402784415 -24.8034356861 59.1639425843 39 -48.2252673067 -1.9539938959e-16 63.2210098435 -10.9048372879 4.4653e-09 3.05629593718e-17 -3.39261833686e-15 -127.177786052 59.1639401963 -3.3774e-09 59.163942296
1 25.7206189551 -22.233456364 59.5178414945 40 -81.4945279113 -7.39019606731e-17 -0.746815201946 -15.7751712459 6.7587e-09 -2.61403335156e-16 -3.45748036269e-15 -139.860994921 59.5178394889 -5.3084e-09 59.5178412788
1 19.3145260802 -23.2357668259 55.0559641844 41 -61.739286429 -1.07786586563e-16 -37.4206414074 -11.9627437529 6.7591e-09 -8.11234573046e-17 -3.61261678102e-15 -156.864281254 55.055962236 5.3082e-09 55.0559640354
1 -0.920534327852 -13.8721416397 60.0243452372 42 -64.026073858 -4.22849810278e-17 41.951454225 -11.7494297251 1.38425e-08 -6.17435020377e-17 -3.5939151129e-15 -177.029279977 60.02434317 -8.9607e-09 60.0243450065
1 7.19502729714 -15.4365235623 58.8316555324 43 -68.0125878644 -2.4235061359e-16 21.4176222421 -13.7626988977 1.38425e-08 -1.84468499626e-16 -3.63298194297e-15 -145.19407882 58.8316537977 8.9607e-09 58.8316553486
1 5.8880754135 -15.919348574 55.7494255027 44 -69.2558325781 -1.90594034866e-16 20.0818119825 -9.88303161309 1.18748e-08 -1.9282253615e-16 -3.65382828704e-15 -147.550965426 55.7494238829 9.0515e-09 55.7494253202
1 8.95321565415 -12.195315323 59.1411953107 45 -40.8452019268 -1.06516267991e-16 15.8230765418 -10.6314129126 1.18742e-08 -1.22854897006e-16 -3.44754133018e-15 -152.64868884 59.1411929623 -9.0515e-09 59.1411950437
1 -1897386.80841 -427301.961329 57.1266209873 46 -45.8896253739 -2.06564161876e-16 25.0209098601 5067510.12274 1.03072e-08 3.53863723489e-17 -3.50705819691e-15 -152.89700826 57.1266191432 -1.433e-08 57.1266207549
1 -9669250.55157 3495045.51513 55.7518460562 47 -82.9996896792 -2.25625712362e-16 7.7207437693 -13417739.3884 1.03087e-08 -1.62617483413e-16 -3.50908357697e-15 -149.553340453 55.751843803 1.433e-08 55.751845835
1 9.5030343288 -11.3412324691 55.2613180887 48 -75.2939822407 -1.08911234098e-16 43.284614866 -10.5452094077 6.0971e-09 -5.8534866293e-17 -3.44386357605e-15 -170.232555512 55.2613167469 -1.36914e-08 55.2613179415
1 14.8459661331 -23.6297878731 59.196581829 49 -79.2893407595 -1.79331955013e-16 -2.74084076386 -14.521917375 6.0971e-09 -1.78591542243e-16 -3.58785865782e-15 -153.186866379 59.1965790186 1.36914e-08 59.1965816579
1 20.8929230498 -12.5065138931 57.4873204825 50 -56.3937950492 7.59424339845e-19 29.9614218151 -12.6358535939 1.27788e-08 -1.54947545206e-16 -3.4490171044e-15 -167.924667027 57.4873184746 -8.6009e-09 57.4873202388
1 10.9467697844 -15.1365934916 57.6051262982 51 -69.5695737047 -2.20526537418e-16 17.1688034785 -11.1046486012 1.27788e-08 -5.90817846583e-17 -3.58614562743e-15 -142.487985134 57.6051242904 8.6009e-09 57.6051261268
1 13.7569560452 -30.748166518 52.2396497974 52 -16.0835442554 9.74884850519e-18 58.9272881275 -14.5015934882 4.4771e-09 -8.48405150695e-18 -3.42114967815e-15 -132.57976544 52.2396485332 -1.23603e-08 52.2396496633
1 15.7091116841 -19.7660502371 59.4639065152 53 -82.1162251149 -2.32681999611e-16 -6.71269951653 -11.7640028252 4.4771e-09 -2.17868942003e-16 -3.59829582051e-15 -181.847844967 59.4639042072 1.23603e-08 59.4639063757
1 7780942.92775 -24130894.4682 59.3038880628 54 -34.5363412429 -1.57931743439e-16 17.4191831978 -943294.190025 3.765e-09 -7.80517000418e-17 -3.5497624176e-15 -131.951915787 59.3038858011 -9.6845e-09 59.3038878519
1 11.5870019905 -8.53176311183 60.5461382227 55 -69.0936732257 -2.90532189537e-16 10.1199236689 -4.26448275215 3.765e-09 -1.49819502473e-16 -3.63712951771e-15 -174.468876525 60.5461355993 9.6845e-09 60.5461380379
1 13.6798427341 -18.3437122609 58.7558405 56 -68.2877246257 -2.05617291149e-16 31.7765796302 -9.44438103124 1.14528e-08 -2.44839519486e-16 -3.59856803063e-15 -157.696845477 58.7558380516 1.22552e-08 58.755840279
1 1.64244532102 -26.257417876 60.1515699878 57 -2.02682654311 -5.17595142834e-18 69.5453331769 -9.9309219639 1.1451e-08 -4.12439284096e-17 -3.48463309257e-15 -154.182688176 60.1515677511 -1.22551e-08 60.1515697381
1 8.3211670723 -24.6763065851 56.9813597186 58 -27.8534985503 -3.53319256001e-17 38.2106411512 -11.3183559206 1.38187e-08 -3.74893453805e-17 -3.56299183721e-15 -144.030470105 56.9813581275 -1.08634e-08 56.9813595568
1 21.2238411774 -17.2207369432 56.9321803682 59 -63.1751339948 -2.44884914516e-17 -19.4686269817 -17.4029376438 1.38187e-08 -1.41442743886e-16 -3.62534181508e-15 -137.799018629 56.9321785573 1.08634e-08 56.9321801864
